web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655188516-6309,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 apartment - 1 bedroom Apartment for Rent. Montreal.,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-apartment-1-bedroom-apartment-for-rent-montreal/1620903873,Ad ID 1620903873,7,3 1/2 apartment - 1 bedroom Apartment for Rent. Montreal.,"A Rue Davidson, Montréal, QC H1W 2Y1, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-apartment-1-bedroom-apartment-for-rent-montreal/1620903873#map,Apartment,Bedrooms: 1,Bathrooms: 1,$980 ,HydroHeatWater,Not Included,0,1 Year,01-Aug-22,null,650,No,AppliancesLaundry (In Unit)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,3 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesBicycle ParkingStorage Space
1655189447-6618,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beautiful fully renovated 5 1/2,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-fully-renovated-5-1-2/1621022500,Ad ID 1621022500,6,Beautiful fully renovated 5 1/2,"H4E2E3, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-fully-renovated-5-1-2/1621022500#map,Duplex/Triplex,Bedrooms: 3,Bathrooms: 1,"$1,625 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,000",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceYardBalcony,No,Kijiji User,2 days ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",null
1655187871-6097,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 a louer Ile-Bizard,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-ile-bizard/1620809678,Ad ID 1620809678,4,4 1/2 a louer Ile-Bizard,"Rue Cherrier, L'Île-Bizard—Sainte-Geneviève, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-ile-bizard/1620809678#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,300 ",Not Included,Not Included,1,1 Year,01-Jul-22,null,800,No,AppliancesNot Included,No,Personal Outdoor SpaceYardBalcony,No,Kijiji User,3 days ago,Yard,Balcony,null,AmenitiesNot Included
1655186068-5501,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beautiful Apartment,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-apartment/1620551150,Ad ID 1620551150,6,Beautiful Apartment,"Verdun, QC H4G 1J2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beautiful-apartment/1620551150#map,Duplex/Triplex,Bedrooms: 3,Bathrooms: 1,"$1,000 ",Not Included,Not Included,0,Month-to-month,01-Jul-22,null,550,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,Yes,Mustak,5 days ago,null,Balcony,null,null
1655190215-6873,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,MAGNIFIQUE 4 1/2 DANS ROSEMONT/PETITE-PATRIE,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-4-1-2-dans-rosemont-petite-patrie/1617758609,Ad ID 1617758609,9,MAGNIFIQUE 4 1/2 DANS ROSEMONT/PETITE-PATRIE,"6418 Avenue Christophe-Colomb, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifique-4-1-2-dans-rosemont-petite-patrie/1617758609#map,Apartment,Bedrooms: 2,Bathrooms: 1.5,"$1,400 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"1,000",No,AppliancesNot Included,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Sandra Silva,a day ago,null,Balcony,null,AmenitiesNot Included
1655182431-4279,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4.5 nouvellement rénové disponible  le 1er juillet,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-nouvellement-renove-disponible-le-1er-juillet/1619758551,Ad ID 1619758551,7,4.5 nouvellement rénové disponible  le 1er juillet,"25E Ave, Lachine, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-5-nouvellement-renove-disponible-le-1er-juillet/1619758551#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,400 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,750,No,AppliancesLaundry (In Unit)Fridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Andika Immeubles,11 days ago,Laundry (In Unit),"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat",Concierge,AmenitiesConcierge
1655187383-5953,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Studio Beside McGill Available August - ID 2036,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-beside-mcgill-available-august-id-2036/1615989458,Ad ID 1615989458,null,Studio Beside McGill Available August - ID 2036,"3460 Rue Durocher, Montreal, QC, H2X 2E3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/studio-beside-mcgill-available-august-id-2036/1615989458#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,"$1,085 ",HydroHeatWater,Not Included,0,1 Year,01-Aug-22,null,300,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,3460 Rue Durocher,4 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConciergeBicycle ParkingElevator in Building
1655185791-5408,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"1 Bdrm available at 135 East Sherbrooke street, Montreal",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdrm-available-at-135-east-sherbrooke-street-montreal/1597889630,Ad ID 1597889630,11,"1 Bdrm available at 135 East Sherbrooke street, Montreal","135 East Sherbrooke street, Montreal, QC, H2X 1C6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bdrm-available-at-135-east-sherbrooke-street-montreal/1597889630#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,360 ",Not Included,Not Included,0,1 Year,01-May-22,null,Not Available,No,AppliancesNot Included,No,Personal Outdoor SpaceNot Included,No,The Saguenay Apartments,5 days ago,null,null,null,AmenitiesNot Included
1655188652-6355,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Condo à louer à Bois-Franc/ Condo for rent in Bois-Franc,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-a-louer-a-bois-franc-condo-for-rent-in-bois-franc/1620926660,Ad ID 1620926660,7,Condo à louer à Bois-Franc/ Condo for rent in Bois-Franc,"Saint-Laurent, QC H4R",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-a-louer-a-bois-franc-condo-for-rent-in-bois-franc/1620926660#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,500 ",Not Included,Not Included,1,1 Year,11-Jun-22,null,627,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Ghislaine,2 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesGymStorage SpaceElevator in Building
1655183491-4641,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Hexagone 2 7e etage Griffintown,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/hexagone-2-7e-etage-griffintown/1620101667,Ad ID 1620101667,null,Hexagone 2 7e etage Griffintown,"Montréal, QC H3C",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/hexagone-2-7e-etage-griffintown/1620101667#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$2,300 ",HydroHeatWater,Internet,0,1 Year,01-Oct-22,null,750,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Yes,Jimmy Chubby,8 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655182173-4187,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Appartement à louer, 4 1/2, St-Léonard, rue Jean-Talon Est",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer-4-1-2-st-leonard-rue-jean-talon-est/1619697372,Ad ID 1619697372,7,"Appartement à louer, 4 1/2, St-Léonard, rue Jean-Talon Est","Montreal, QC H1S 3G5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer-4-1-2-st-leonard-rue-jean-talon-est/1619697372#map,Apartment,Bedrooms: 2,Bathrooms: 2,"$1,675 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,221",No,AppliancesNot Included,Yes,Personal Outdoor SpaceBalcony,No,Gabriel,11 days ago,Gym,Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConcierge24 Hour SecurityStorage SpaceElevator in Building
1655190490-6965,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"4 1/2  PROMOTION,A LOUER,1 mois gratuit",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-promotion-a-louer-1-mois-gratuit/1619482585,Ad ID 1619482585,null,"4 1/2  PROMOTION,A LOUER,1 mois gratuit","4840 EDOUARD MONT-PETIT, Montreal, QC, H3W 1P8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-promotion-a-louer-1-mois-gratuit/1619482585#map,Apartment,Bedrooms: Bachelor/Studio,Bathrooms: 1,"$1,149 ",Not Included,Not Included,0,1 Year,01-Sep-22,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceNot Included,No,PROPRIETES ZIRKA 4840,about 18 hours ago,null,Laundry (In Building),null,AmenitiesNot Included
1655192413-7588,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1 /2 proche du Metro Crémazie et college Ahuntsic,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-proche-du-metro-cremazie-et-college-ahuntsic/1621213631,Ad ID 1621213631,5,3 1 /2 proche du Metro Crémazie et college Ahuntsic,"8520 Rue St-Hubert, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-proche-du-metro-cremazie-et-college-ahuntsic/1621213631#map,Apartment,Bedrooms: 1,Bathrooms: 1,$885 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,500,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceNot Included,Outdoors only,HG,about 9 hours ago,Laundry (In Unit),null,Dishwasher,AmenitiesNot Included
1655185672-5368,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,APPARTEMENT À LOUER,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer/1611560960,Ad ID 1611560960,7,APPARTEMENT À LOUER,"Rue Lacordaire, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartement-a-louer/1611560960#map,Apartment,Bedrooms: 4,Bathrooms: 1,"$1,800 ",Not Included,Internet,0,1 Year,01-Jul-22,null,"1,100",No,AppliancesLaundry (In Unit)Dishwasher,Yes,Personal Outdoor SpaceBalcony,No,Kijiji User,5 days ago,Laundry (In Unit),Internet,Dishwasher,AmenitiesNot Included
1655187027-5828,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 appartement to rent in ville Saint-Laurent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-appartement-to-rent-in-ville-saint-laurent/1620694039,Ad ID 1620694039,7,3 1/2 appartement to rent in ville Saint-Laurent,"Saint-Laurent, QC H4R 1P8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-appartement-to-rent-in-ville-saint-laurent/1620694039#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,250 ",Not Included,Not Included,1,1 Year,01-Aug-22,null,680,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Nel,4 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesStorage SpaceElevator in Building
1655192640-7662,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Appartements VIE: Apartment for rent in Downtown Montreal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-vie:-apartment-for-rent-in-downtown-montreal/1505846305,Ad ID 1505846305,null,Appartements VIE: Apartment for rent in Downtown Montreal,"2255 rue Saint-Mathieu, Montreal, QC, H3H 2J6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/appartements-vie:-apartment-for-rent-in-downtown-montreal/1505846305#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,699 ",HydroHeatWater,Internet,0,1 Year,01-Jul-22,null,640,No,AppliancesLaundry (In Unit),Yes,Personal Outdoor SpaceNot Included,No,Appartements VIE,about 8 hours ago,Laundry (In Unit),"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
1655188133-6184,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4½ NDG neau WSTMNT - 1ER JUILLET - 1380$ -  HOT WATER INCL,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-ndg-neau-wstmnt-1er-juillet-1380-hot-water-incl/1620849352,Ad ID 1620849352,5,4½ NDG neau WSTMNT - 1ER JUILLET - 1380$ -  HOT WATER INCL,"Montreal, QC H4A 3J5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-ndg-neau-wstmnt-1er-juillet-1380-hot-water-incl/1620849352#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,380 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,1,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceNot Included,Outdoors only,Kijiji User,3 days ago,null,Laundry (In Building),"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge
1655181095-3811,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Grand 7 1/2 lumineux, métro Rosemont, 1er juillet",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-7-1-2-lumineux-metro-rosemont-1er-juillet/1619324820,Ad ID 1619324820,null,"Grand 7 1/2 lumineux, métro Rosemont, 1er juillet","Montréal, QC H2S 2G3",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-7-1-2-lumineux-metro-rosemont-1er-juillet/1619324820#map,Apartment,Bedrooms: 5+,Bathrooms: 1,"$1,985 ",Not Included,Not Included,1,1 Year,01-Jul-22,null,"1,300",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,mathieu,13 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesNot Included
1655186533-5657,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Montreal 1 Bedroom Luxury Apartment for Rent - 325 & 365 Bouleva,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/montreal-1-bedroom-luxury-apartment-for-rent-325-365-bouleva/1606854312,Ad ID 1606854312,11,Montreal 1 Bedroom Luxury Apartment for Rent - 325 & 365 Bouleva,"365 Boulevard Cote-Vertu, Saint-Laurent, QC, H4N 1E4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/montreal-1-bedroom-luxury-apartment-for-rent-325-365-bouleva/1606854312#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,041 ",HydroHeatWater,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceNot Included,No,325 & 365 Boulevard Cote-Vertu,5 days ago,null,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesElevator in Building
